Shipment ID,Origin,Destination,Shipment Date,Estimated Delivery Date,Actual Delivery Date,Shipment Status,Carrier Name,Mode of Transportation,Product ID,Product Name,Weight (kg),Dimensions (LxWxH cm),Special Handling Instructions,Customer ID,Customer Region,Preferred Delivery Times,Cat ID,Cat Name,Breed,Age (Years),Health Certificate Status,Behavioral Notes,Route ID,Intermediate Stops,Distance Covered (km),Delay Reasons,Cost of Shipment (PHP),Carbon Emissions (kg CO2)
SHP-PH1010,Warehouse Cebu,Cat Café Manila,2024-11-17,2024-11-10,2024-11-29,Delivered,LBC Express,Air,CAT-FOOD-002,Premium Cat Food,5.0,40x20x15,Fragile,CUST-PH1010,Davao,Morning,N/A,N/A,N/A,N/A,N/A,N/A,RT-PH1010,Clark Airport,926,Customs,953,61
SHP-PH1011,Warehouse Bacolod,Customer Home Pasig,2024-11-14,2024-11-04,2024-11-02,Delivered,Grab Pet Transport,Air,LIVE-CAT-004,Live Cat,4.0,35x35x35,None,CUST-PH1011,Davao,Evening,CAT-PH1011,Muning,Maine Coon,1,Up-to-date,Calm,RT-PH1011,Cebu City Airport,958,Technical Issue,1834,40
SHP-PH1012,Shelter Quezon City,Cat Café Cebu,2024-11-23,2024-11-10,2024-11-24,Delivered,Grab Pet Transport,Road,CAT-LIT-003,Cat Litter,8.0,45x35x25,Fragile,CUST-PH1012,Cebu,Morning,N/A,N/A,N/A,N/A,N/A,N/A,RT-PH1012,Davao City Hub,1055,Technical Issue,1810,15
SHP-PH1013,Shelter Manila,Customer Home Davao,2024-11-18,2024-11-19,2024-11-13,Delayed,J&T Express,Air,CAT-FOOD-002,Premium Cat Food,5.0,40x20x15,Handle with Care,CUST-PH1013,Davao,Evening,N/A,N/A,N/A,N/A,N/A,N/A,RT-PH1013,Cebu City Airport,1029,Customs,1131,14
SHP-PH1014,Warehouse Bacolod,Cat Café Cebu,2024-11-08,2024-11-10,2024-11-12,Delivered,LBC Express,Air,CAT-FOOD-002,Premium Cat Food,5.0,40x20x15,Fragile,CUST-PH1014,Davao,Afternoon,N/A,N/A,N/A,N/A,N/A,N/A,RT-PH1014,Davao City Hub,1055,Traffic,1015,51
SHP-PH1015,Pet Store Davao,Customer Home Davao,2024-11-09,2024-11-17,2024-11-20,In-transit,J&T Express,Air,LIVE-CAT-004,Live Cat,4.0,35x35x35,Fragile,CUST-PH1015,Iloilo,Morning,CAT-PH1015,Mittens,Persian,2,Up-to-date,Shy,RT-PH1015,Davao City Hub,501,Customs,696,53
SHP-PH1016,Warehouse Cebu,Customer Home Pasig,2024-11-04,2024-11-08,2024-11-29,Delivered,Pet Express,Air,CAT-FOOD-002,Premium Cat Food,5.0,40x20x15,None,CUST-PH1016,Iloilo,Afternoon,N/A,N/A,N/A,N/A,N/A,N/A,RT-PH1016,"Naga, Talisay",318,Traffic,762,48
SHP-PH1017,Pet Store Davao,Cat Café Manila,2024-11-09,2024-11-19,2024-11-07,Delivered,LBC Express,Air,CAT-TOY-001,Catnip Toy,0.3,12x6x6,Keep Dry,CUST-PH1017,Iloilo,Evening,N/A,N/A,N/A,N/A,N/A,N/A,RT-PH1017,Cebu City Airport,723,Traffic,927,30
SHP-PH1018,Warehouse Cebu,Cat Café Cebu,2024-11-10,2024-11-17,2024-11-17,In-transit,Grab Pet Transport,Air,CAT-TOY-001,Catnip Toy,0.3,12x6x6,None,CUST-PH1018,Iloilo,Evening,N/A,N/A,N/A,N/A,N/A,N/A,RT-PH1018,"Makati, Taguig",1130,Technical Issue,728,88
SHP-PH1019,Warehouse Bacolod,Cat Café Manila,2024-11-23,2024-11-19,2024-11-15,Delayed,Pet Express,Road,LIVE-CAT-004,Live Cat,4.0,35x35x35,None,CUST-PH1019,Davao,Evening,CAT-PH1019,Pusa,Puspin,4,Up-to-date,Playful,RT-PH1019,Cebu City Airport,995,Customs,213,17
SHP-PH1020,Warehouse Bacolod,Cat Café Makati,2024-11-06,2024-11-19,2024-11-12,Delivered,PawLogistics,Road,LIVE-CAT-004,Live Cat,4.0,35x35x35,Keep Dry,CUST-PH1020,Iloilo,Evening,CAT-PH1020,Pusa,Maine Coon,4,Up-to-date,Shy,RT-PH1020,"Makati, Taguig",916,None,1051,50
SHP-PH1021,Warehouse Cebu,Customer Home Davao,2024-11-29,2024-11-03,2024-11-26,Delayed,J&T Express,Air,CAT-TOY-001,Catnip Toy,0.3,12x6x6,Live Animal,CUST-PH1021,Bacolod,Morning,N/A,N/A,N/A,N/A,N/A,N/A,RT-PH1021,"Makati, Taguig",572,Traffic,1131,67
SHP-PH1022,Shelter Manila,Cat Café Makati,2024-11-14,2024-11-21,2024-11-09,In-transit,LBC Express,Air,LIVE-CAT-004,Live Cat,4.0,35x35x35,Keep Dry,CUST-PH1022,Bacolod,Evening,CAT-PH1022,Muning,Puspin,5,Up-to-date,Playful,RT-PH1022,"Naga, Talisay",1433,Traffic,1225,32
SHP-PH1023,Warehouse Cebu,Cat Café Manila,2024-11-06,2024-11-19,2024-11-30,Delayed,J&T Express,Road,CAT-LIT-003,Cat Litter,8.0,45x35x25,Keep Dry,CUST-PH1023,Cebu,Morning,N/A,N/A,N/A,N/A,N/A,N/A,RT-PH1023,Cebu City Airport,1115,None,327,16
SHP-PH1024,Warehouse Cebu,Cat Café Cebu,2024-11-30,2024-11-14,2024-11-08,In-transit,Pet Express,Air,CAT-LIT-003,Cat Litter,8.0,45x35x25,Keep Dry,CUST-PH1024,Metro Manila,Morning,N/A,N/A,N/A,N/A,N/A,N/A,RT-PH1024,Cebu City Airport,724,Customs,1265,93
SHP-PH1025,Shelter Quezon City,Cat Café Cebu,2024-11-02,2024-11-23,2024-11-07,Delayed,Grab Pet Transport,Road,CAT-TOY-001,Catnip Toy,0.3,12x6x6,Handle with Care,CUST-PH1025,Davao,Afternoon,N/A,N/A,N/A,N/A,N/A,N/A,RT-PH1025,"Naga, Talisay",1111,Traffic,379,57
SHP-PH1026,Shelter Manila,Customer Home Pasig,2024-11-25,2024-11-28,2024-11-06,In-transit,Grab Pet Transport,Air,CAT-LIT-003,Cat Litter,8.0,45x35x25,Fragile,CUST-PH1026,Bacolod,Evening,N/A,N/A,N/A,N/A,N/A,N/A,RT-PH1026,"Naga, Talisay",1128,Technical Issue,1287,80
SHP-PH1027,Warehouse Bacolod,Customer Home Pasig,2024-11-12,2024-11-27,2024-11-09,In-transit,J&T Express,Road,CAT-SCRATCH-005,Cat Scratcher,3.5,50x40x20,Fragile,CUST-PH1027,Davao,Morning,N/A,N/A,N/A,N/A,N/A,N/A,RT-PH1027,Clark Airport,1405,Traffic,962,71
SHP-PH1028,Warehouse Cebu,Cat Café Cebu,2024-11-23,2024-11-30,2024-11-10,Delayed,PawLogistics,Air,LIVE-CAT-004,Live Cat,4.0,35x35x35,Fragile,CUST-PH1028,Bacolod,Afternoon,CAT-PH1028,Pusa,Puspin,2,Up-to-date,Calm,RT-PH1028,Clark Airport,1383,Customs,1974,91
SHP-PH1029,Warehouse Bacolod,Cat Café Cebu,2024-11-07,2024-11-06,2024-11-10,In-transit,Pet Express,Air,CAT-FOOD-002,Premium Cat Food,5.0,40x20x15,Live Animal,CUST-PH1029,Davao,Evening,N/A,N/A,N/A,N/A,N/A,N/A,RT-PH1029,"Naga, Talisay",1207,Traffic,743,88
SHP-PH1030,Pet Store Davao,Customer Home Pasig,2024-11-27,2024-11-03,2024-11-20,Delivered,J&T Express,Air,CAT-LIT-003,Cat Litter,8.0,45x35x25,Fragile,CUST-PH1030,Metro Manila,Morning,N/A,N/A,N/A,N/A,N/A,N/A,RT-PH1030,Clark Airport,1082,None,1312,66
SHP-PH1031,Pet Store Davao,Customer Home Pasig,2024-11-23,2024-11-03,2024-11-28,In-transit,PawLogistics,Air,CAT-TOY-001,Catnip Toy,0.3,12x6x6,Live Animal,CUST-PH1031,Davao,Morning,N/A,N/A,N/A,N/A,N/A,N/A,RT-PH1031,Davao City Hub,219,Technical Issue,1494,73
SHP-PH1032,Warehouse Cebu,Cat Café Makati,2024-11-30,2024-11-29,2024-11-12,Delivered,J&T Express,Air,CAT-FOOD-002,Premium Cat Food,5.0,40x20x15,Live Animal,CUST-PH1032,Davao,Evening,N/A,N/A,N/A,N/A,N/A,N/A,RT-PH1032,Cebu City Airport,455,Weather,1309,67
SHP-PH1033,Shelter Quezon City,Customer Home Davao,2024-11-01,2024-11-09,2024-11-14,Delivered,PawLogistics,Air,CAT-SCRATCH-005,Cat Scratcher,3.5,50x40x20,Handle with Care,CUST-PH1033,Iloilo,Morning,N/A,N/A,N/A,N/A,N/A,N/A,RT-PH1033,Cebu City Airport,1118,Customs,1685,75
SHP-PH1034,Shelter Quezon City,Cat Café Cebu,2024-11-06,2024-11-26,2024-11-07,Delivered,Pet Express,Air,CAT-LIT-003,Cat Litter,8.0,45x35x25,Fragile,CUST-PH1034,Iloilo,Evening,N/A,N/A,N/A,N/A,N/A,N/A,RT-PH1034,Davao City Hub,318,Traffic,454,68
SHP-PH1035,Shelter Quezon City,Cat Café Makati,2024-11-19,2024-11-30,2024-11-24,In-transit,PawLogistics,Air,CAT-FOOD-002,Premium Cat Food,5.0,40x20x15,Live Animal,CUST-PH1035,Iloilo,Morning,N/A,N/A,N/A,N/A,N/A,N/A,RT-PH1035,Clark Airport,318,None,1764,73
SHP-PH1036,Warehouse Cebu,Cat Café Makati,2024-11-27,2024-11-19,2024-11-17,Delivered,LBC Express,Air,LIVE-CAT-004,Live Cat,4.0,35x35x35,Fragile,CUST-PH1036,Metro Manila,Evening,CAT-PH1036,Bunso,Puspin,4,Up-to-date,Playful,RT-PH1036,"Makati, Taguig",125,Technical Issue,1104,53
SHP-PH1037,Warehouse Bacolod,Cat Café Manila,2024-11-05,2024-11-02,2024-11-07,Delayed,Pet Express,Road,CAT-SCRATCH-005,Cat Scratcher,3.5,50x40x20,Handle with Care,CUST-PH1037,Davao,Morning,N/A,N/A,N/A,N/A,N/A,N/A,RT-PH1037,Cebu City Airport,1002,Traffic,589,56
SHP-PH1038,Warehouse Bacolod,Cat Café Manila,2024-11-23,2024-11-25,2024-11-18,Delayed,Grab Pet Transport,Air,CAT-SCRATCH-005,Cat Scratcher,3.5,50x40x20,Fragile,CUST-PH1038,Iloilo,Evening,N/A,N/A,N/A,N/A,N/A,N/A,RT-PH1038,"Makati, Taguig",727,Technical Issue,1307,30
SHP-PH1039,Pet Store Davao,Customer Home Davao,2024-11-09,2024-11-09,2024-11-06,Delayed,Pet Express,Road,LIVE-CAT-004,Live Cat,4.0,35x35x35,None,CUST-PH1039,Iloilo,Evening,CAT-PH1039,Bunso,Maine Coon,1,Up-to-date,Calm,RT-PH1039,"Makati, Taguig",389,Technical Issue,1893,70
SHP-PH1040,Warehouse Cebu,Customer Home Pasig,2024-11-08,2024-11-30,2024-11-15,In-transit,PawLogistics,Road,LIVE-CAT-004,Live Cat,4.0,35x35x35,Fragile,CUST-PH1040,Cebu,Evening,CAT-PH1040,Mittens,Puspin,2,Up-to-date,Playful,RT-PH1040,"Naga, Talisay",425,None,1849,6
SHP-PH1041,Pet Store Davao,Cat Café Cebu,2024-11-30,2024-11-14,2024-11-11,Delayed,J&T Express,Road,CAT-FOOD-002,Premium Cat Food,5.0,40x20x15,Keep Dry,CUST-PH1041,Metro Manila,Afternoon,N/A,N/A,N/A,N/A,N/A,N/A,RT-PH1041,"Naga, Talisay",38,Weather,505,53
SHP-PH1042,Shelter Manila,Customer Home Davao,2024-11-11,2024-11-04,2024-11-17,In-transit,J&T Express,Road,CAT-FOOD-002,Premium Cat Food,5.0,40x20x15,Handle with Care,CUST-PH1042,Iloilo,Afternoon,N/A,N/A,N/A,N/A,N/A,N/A,RT-PH1042,Cebu City Airport,674,None,1174,61
SHP-PH1043,Shelter Manila,Customer Home Pasig,2024-11-16,2024-11-28,2024-11-29,Delayed,LBC Express,Air,CAT-LIT-003,Cat Litter,8.0,45x35x25,Live Animal,CUST-PH1043,Metro Manila,Afternoon,N/A,N/A,N/A,N/A,N/A,N/A,RT-PH1043,Cebu City Airport,1226,Customs,1501,33
SHP-PH1044,Pet Store Davao,Cat Café Cebu,2024-11-26,2024-11-19,2024-11-10,Delivered,Pet Express,Air,CAT-LIT-003,Cat Litter,8.0,45x35x25,Fragile,CUST-PH1044,Davao,Afternoon,N/A,N/A,N/A,N/A,N/A,N/A,RT-PH1044,"Naga, Talisay",217,Customs,1203,54
SHP-PH1045,Warehouse Cebu,Customer Home Davao,2024-11-18,2024-11-16,2024-11-14,Delayed,Pet Express,Air,CAT-TOY-001,Catnip Toy,0.3,12x6x6,None,CUST-PH1045,Davao,Morning,N/A,N/A,N/A,N/A,N/A,N/A,RT-PH1045,"Naga, Talisay",105,Customs,215,59
SHP-PH1046,Pet Store Davao,Customer Home Pasig,2024-11-12,2024-11-20,2024-11-03,Delivered,PawLogistics,Air,LIVE-CAT-004,Live Cat,4.0,35x35x35,Live Animal,CUST-PH1046,Metro Manila,Evening,CAT-PH1046,Muning,Puspin,1,Up-to-date,Calm,RT-PH1046,Clark Airport,508,Weather,1454,63
SHP-PH1047,Pet Store Davao,Cat Café Makati,2024-11-21,2024-11-30,2024-11-03,In-transit,LBC Express,Road,CAT-TOY-001,Catnip Toy,0.3,12x6x6,Keep Dry,CUST-PH1047,Davao,Afternoon,N/A,N/A,N/A,N/A,N/A,N/A,RT-PH1047,Davao City Hub,1081,Technical Issue,603,65
SHP-PH1048,Warehouse Cebu,Customer Home Davao,2024-11-11,2024-11-19,2024-11-25,Delivered,Pet Express,Road,CAT-TOY-001,Catnip Toy,0.3,12x6x6,None,CUST-PH1048,Metro Manila,Afternoon,N/A,N/A,N/A,N/A,N/A,N/A,RT-PH1048,"Naga, Talisay",1176,Customs,734,7
SHP-PH1049,Shelter Quezon City,Cat Café Makati,2024-11-29,2024-11-18,2024-11-22,Delivered,Grab Pet Transport,Road,CAT-LIT-003,Cat Litter,8.0,45x35x25,None,CUST-PH1049,Metro Manila,Afternoon,N/A,N/A,N/A,N/A,N/A,N/A,RT-PH1049,"Makati, Taguig",637,Technical Issue,1268,12
SHP-PH1050,Shelter Quezon City,Cat Café Manila,2024-11-30,2024-11-12,2024-11-24,Delivered,PawLogistics,Road,LIVE-CAT-004,Live Cat,4.0,35x35x35,Live Animal,CUST-PH1050,Iloilo,Afternoon,CAT-PH1050,Muning,Siamese,3,Up-to-date,Playful,RT-PH1050,Clark Airport,1067,Customs,417,23
SHP-PH1051,Warehouse Cebu,Cat Café Cebu,2024-11-27,2024-11-06,2024-11-19,In-transit,J&T Express,Road,CAT-SCRATCH-005,Cat Scratcher,3.5,50x40x20,Keep Dry,CUST-PH1051,Davao,Afternoon,N/A,N/A,N/A,N/A,N/A,N/A,RT-PH1051,"Naga, Talisay",1041,Customs,1292,56
SHP-PH1052,Warehouse Bacolod,Cat Café Manila,2024-11-24,2024-11-06,2024-11-10,Delivered,J&T Express,Road,CAT-FOOD-002,Premium Cat Food,5.0,40x20x15,Fragile,CUST-PH1052,Metro Manila,Afternoon,N/A,N/A,N/A,N/A,N/A,N/A,RT-PH1052,"Makati, Taguig",706,Traffic,1362,73
SHP-PH1053,Pet Store Davao,Customer Home Davao,2024-11-11,2024-11-29,2024-11-10,Delayed,J&T Express,Road,LIVE-CAT-004,Live Cat,4.0,35x35x35,Handle with Care,CUST-PH1053,Metro Manila,Afternoon,CAT-PH1053,Mittens,Puspin,4,Up-to-date,Shy,RT-PH1053,Davao City Hub,1168,Weather,1338,66
SHP-PH1054,Warehouse Cebu,Customer Home Davao,2024-11-25,2024-11-04,2024-11-28,Delivered,PawLogistics,Air,CAT-FOOD-002,Premium Cat Food,5.0,40x20x15,None,CUST-PH1054,Iloilo,Evening,N/A,N/A,N/A,N/A,N/A,N/A,RT-PH1054,Cebu City Airport,1206,Customs,1258,97
SHP-PH1055,Warehouse Bacolod,Customer Home Pasig,2024-11-08,2024-11-09,2024-11-29,In-transit,Pet Express,Air,CAT-LIT-003,Cat Litter,8.0,45x35x25,Handle with Care,CUST-PH1055,Iloilo,Afternoon,N/A,N/A,N/A,N/A,N/A,N/A,RT-PH1055,Cebu City Airport,84,Traffic,1691,26
SHP-PH1056,Pet Store Davao,Customer Home Pasig,2024-11-26,2024-11-19,2024-11-09,In-transit,Pet Express,Air,CAT-TOY-001,Catnip Toy,0.3,12x6x6,Keep Dry,CUST-PH1056,Cebu,Morning,N/A,N/A,N/A,N/A,N/A,N/A,RT-PH1056,"Naga, Talisay",943,None,962,35
SHP-PH1057,Warehouse Cebu,Customer Home Davao,2024-11-17,2024-11-16,2024-11-16,In-transit,LBC Express,Air,CAT-FOOD-002,Premium Cat Food,5.0,40x20x15,Keep Dry,CUST-PH1057,Iloilo,Afternoon,N/A,N/A,N/A,N/A,N/A,N/A,RT-PH1057,Cebu City Airport,237,Traffic,605,5
SHP-PH1058,Warehouse Bacolod,Cat Café Cebu,2024-11-20,2024-11-12,2024-11-14,Delivered,Grab Pet Transport,Road,CAT-LIT-003,Cat Litter,8.0,45x35x25,Fragile,CUST-PH1058,Davao,Morning,N/A,N/A,N/A,N/A,N/A,N/A,RT-PH1058,"Naga, Talisay",987,Technical Issue,377,6
SHP-PH1059,Pet Store Davao,Cat Café Manila,2024-11-08,2024-11-26,2024-11-19,Delayed,Pet Express,Road,CAT-LIT-003,Cat Litter,8.0,45x35x25,Handle with Care,CUST-PH1059,Davao,Evening,N/A,N/A,N/A,N/A,N/A,N/A,RT-PH1059,Clark Airport,727,Technical Issue,1882,51
SHP-PH1060,Warehouse Bacolod,Cat Café Cebu,2024-11-26,2024-11-29,2024-11-25,Delivered,LBC Express,Air,CAT-FOOD-002,Premium Cat Food,5.0,40x20x15,Keep Dry,CUST-PH1060,Iloilo,Evening,N/A,N/A,N/A,N/A,N/A,N/A,RT-PH1060,"Naga, Talisay",881,None,732,85
SHP-PH1061,Shelter Manila,Customer Home Davao,2024-11-05,2024-11-25,2024-11-19,Delayed,Pet Express,Air,LIVE-CAT-004,Live Cat,4.0,35x35x35,Fragile,CUST-PH1061,Iloilo,Evening,CAT-PH1061,Bunso,Puspin,3,Up-to-date,Shy,RT-PH1061,Davao City Hub,1339,Weather,1842,100
SHP-PH1062,Shelter Quezon City,Customer Home Pasig,2024-11-09,2024-11-07,2024-11-23,Delayed,PawLogistics,Air,CAT-SCRATCH-005,Cat Scratcher,3.5,50x40x20,Live Animal,CUST-PH1062,Davao,Morning,N/A,N/A,N/A,N/A,N/A,N/A,RT-PH1062,Cebu City Airport,533,Technical Issue,1762,77
SHP-PH1063,Warehouse Bacolod,Cat Café Manila,2024-11-08,2024-11-09,2024-11-09,Delivered,Pet Express,Air,CAT-FOOD-002,Premium Cat Food,5.0,40x20x15,None,CUST-PH1063,Iloilo,Morning,N/A,N/A,N/A,N/A,N/A,N/A,RT-PH1063,"Naga, Talisay",261,Technical Issue,370,34
SHP-PH1064,Warehouse Bacolod,Customer Home Davao,2024-11-04,2024-11-05,2024-11-17,In-transit,LBC Express,Road,CAT-SCRATCH-005,Cat Scratcher,3.5,50x40x20,None,CUST-PH1064,Metro Manila,Evening,N/A,N/A,N/A,N/A,N/A,N/A,RT-PH1064,"Naga, Talisay",1057,Customs,839,7
SHP-PH1065,Shelter Manila,Customer Home Davao,2024-11-08,2024-11-22,2024-11-19,In-transit,Grab Pet Transport,Air,CAT-FOOD-002,Premium Cat Food,5.0,40x20x15,Fragile,CUST-PH1065,Davao,Evening,N/A,N/A,N/A,N/A,N/A,N/A,RT-PH1065,Davao City Hub,230,Technical Issue,505,5
SHP-PH1066,Warehouse Cebu,Cat Café Manila,2024-11-08,2024-11-12,2024-11-19,Delayed,J&T Express,Road,CAT-LIT-003,Cat Litter,8.0,45x35x25,None,CUST-PH1066,Cebu,Morning,N/A,N/A,N/A,N/A,N/A,N/A,RT-PH1066,Clark Airport,778,Weather,1156,28
SHP-PH1067,Warehouse Cebu,Cat Café Makati,2024-11-15,2024-11-05,2024-11-22,Delivered,LBC Express,Road,CAT-LIT-003,Cat Litter,8.0,45x35x25,Handle with Care,CUST-PH1067,Iloilo,Evening,N/A,N/A,N/A,N/A,N/A,N/A,RT-PH1067,Clark Airport,972,Traffic,1367,8
SHP-PH1068,Warehouse Cebu,Cat Café Makati,2024-11-11,2024-11-19,2024-11-20,Delayed,Grab Pet Transport,Road,LIVE-CAT-004,Live Cat,4.0,35x35x35,None,CUST-PH1068,Iloilo,Evening,CAT-PH1068,Mittens,Maine Coon,1,Up-to-date,Calm,RT-PH1068,Davao City Hub,419,Customs,540,13
SHP-PH1069,Pet Store Davao,Cat Café Manila,2024-11-09,2024-11-10,2024-11-08,Delivered,Pet Express,Air,CAT-SCRATCH-005,Cat Scratcher,3.5,50x40x20,Keep Dry,CUST-PH1069,Bacolod,Evening,N/A,N/A,N/A,N/A,N/A,N/A,RT-PH1069,Cebu City Airport,1182,Weather,747,57
SHP-PH1070,Pet Store Davao,Customer Home Davao,2024-11-29,2024-11-02,2024-11-20,Delayed,Grab Pet Transport,Air,CAT-TOY-001,Catnip Toy,0.3,12x6x6,None,CUST-PH1070,Davao,Morning,N/A,N/A,N/A,N/A,N/A,N/A,RT-PH1070,"Naga, Talisay",338,Technical Issue,1977,62
SHP-PH1071,Shelter Manila,Cat Café Cebu,2024-11-05,2024-11-16,2024-11-30,Delayed,J&T Express,Road,CAT-TOY-001,Catnip Toy,0.3,12x6x6,Fragile,CUST-PH1071,Iloilo,Evening,N/A,N/A,N/A,N/A,N/A,N/A,RT-PH1071,Davao City Hub,532,Technical Issue,381,98
SHP-PH1072,Warehouse Bacolod,Cat Café Manila,2024-11-06,2024-11-15,2024-11-07,Delivered,J&T Express,Air,CAT-FOOD-002,Premium Cat Food,5.0,40x20x15,None,CUST-PH1072,Iloilo,Morning,N/A,N/A,N/A,N/A,N/A,N/A,RT-PH1072,"Makati, Taguig",810,None,886,63
SHP-PH1073,Warehouse Cebu,Cat Café Cebu,2024-11-10,2024-11-23,2024-11-10,In-transit,PawLogistics,Road,CAT-TOY-001,Catnip Toy,0.3,12x6x6,Handle with Care,CUST-PH1073,Metro Manila,Evening,N/A,N/A,N/A,N/A,N/A,N/A,RT-PH1073,"Makati, Taguig",911,Customs,1011,83
SHP-PH1074,Pet Store Davao,Customer Home Davao,2024-11-16,2024-11-02,2024-11-02,Delivered,PawLogistics,Air,CAT-FOOD-002,Premium Cat Food,5.0,40x20x15,Keep Dry,CUST-PH1074,Metro Manila,Evening,N/A,N/A,N/A,N/A,N/A,N/A,RT-PH1074,Cebu City Airport,1327,Weather,1276,29
SHP-PH1075,Shelter Manila,Cat Café Manila,2024-11-15,2024-11-11,2024-11-29,In-transit,Pet Express,Air,LIVE-CAT-004,Live Cat,4.0,35x35x35,Keep Dry,CUST-PH1075,Iloilo,Evening,CAT-PH1075,Muning,Maine Coon,5,Up-to-date,Shy,RT-PH1075,Davao City Hub,441,Traffic,1418,45
SHP-PH1076,Pet Store Davao,Cat Café Manila,2024-11-17,2024-11-26,2024-11-06,In-transit,PawLogistics,Road,CAT-LIT-003,Cat Litter,8.0,45x35x25,Keep Dry,CUST-PH1076,Cebu,Afternoon,N/A,N/A,N/A,N/A,N/A,N/A,RT-PH1076,Davao City Hub,914,Weather,694,82
SHP-PH1077,Shelter Manila,Cat Café Makati,2024-11-10,2024-11-29,2024-11-10,In-transit,Grab Pet Transport,Road,CAT-LIT-003,Cat Litter,8.0,45x35x25,None,CUST-PH1077,Metro Manila,Evening,N/A,N/A,N/A,N/A,N/A,N/A,RT-PH1077,"Naga, Talisay",436,None,1544,77
SHP-PH1078,Shelter Manila,Cat Café Manila,2024-11-21,2024-11-02,2024-11-23,In-transit,LBC Express,Road,CAT-TOY-001,Catnip Toy,0.3,12x6x6,Keep Dry,CUST-PH1078,Metro Manila,Evening,N/A,N/A,N/A,N/A,N/A,N/A,RT-PH1078,"Makati, Taguig",1494,Customs,531,78
